,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
43,2023-10-18,619389.0541106471,95270.44802333573,107340.57384738328,303633.1540988634,942351.2508450386,-517211.0927050519,-840743.1051945242,-202532.36295443587,-514018.0883703229,-838354.5803244486,-199004.81568548706,5769.321224331815,5060.4709057317195,6468.614036737428,-8962.325559060831,-12102.637507717347,-5904.289638004258,0.0,0.0,0.0,102177.96140559518
44,2023-10-19,619299.6243933638,99437.40158329239,113737.88381231402,303592.7811355593,942262.5643725479,-512523.5833077685,-837690.2160682128,-198166.79749064613,-514018.0883719798,-838354.5803209787,-199004.81568225857,9867.114547257843,9210.163560611027,10416.297567006339,-8372.60948304664,-11372.855572151415,-5420.240461442089,0.0,0.0,0.0,106776.04108559532
45,2023-10-20,619210.1946760807,94775.76869410036,107224.93292455605,303552.40817225515,942173.8779000572,-517886.2600442481,-843511.622578188,-202554.4731620079,-514018.08837718546,-838354.5803244481,-199004.81569551374,3865.1304295834184,3307.400109940027,4399.179374852894,-7733.3020966461545,-10659.855541891859,-4877.20715085285,0.0,0.0,0.0,101323.93463183264
46,2023-10-21,619120.7649587975,99548.01532003103,111069.35321408475,303512.03520895104,942085.1914275666,-513944.6154135553,-838492.176451852,-197753.9494942873,-514018.0883587898,-838354.5803198586,-199004.81566116214,7124.262628596751,6401.616924495277,7893.188178673901,-7050.789683362236,-9844.195809147714,-4277.3047921978305,0.0,0.0,0.0,105176.1495452422
47,2023-10-22,619029.7924396653,80635.87731641663,92298.59814414158,303463.8223280724,941980.3394501971,-532457.0757148452,-856877.6821044687,-217753.92601312787,-514018.08836399554,-838354.5803233281,-199004.8156744173,-12104.955609767288,-12898.652081072742,-11291.247827425648,-6334.031741082282,-8982.857515910522,-3485.978504005252,0.0,0.0,0.0,86572.71672482009
48,2023-10-23,618938.819920533,78278.50080700585,91034.19794456924,303415.60944719374,941875.4874728275,-534399.5942231482,-858505.2722417357,-218161.6368950624,-514018.0883656525,-838354.580319858,-199004.81567118884,-14787.103762442053,-15472.984997045149,-13974.636400435651,-5594.402095053719,-8189.182601373593,-2708.5297646667204,0.0,0.0,0.0,84539.2256973848
49,2023-10-24,618847.8474014008,95274.89683579419,106422.44356034142,303367.3965663151,941770.6354954579,-518597.2945718533,-842376.9517633757,-203376.5298095463,-514018.08837085805,-838354.5803233277,-199004.81568444392,266.2305423910873,-417.91348415082524,866.0564715314065,-4845.436743386261,-7312.637691079903,-2025.1350024287472,0.0,0.0,0.0,100250.5528295475
50,2023-10-25,618756.8748822685,101167.39296888895,112072.81236465934,303319.1836854365,941665.7835180884,-512351.26130760106,-834931.6062469479,-196216.9980833782,-514018.0883760639,-838354.5803267971,-199004.81569769914,5769.321224346416,5060.470905747662,6468.614036747485,-4102.494155883644,-6542.474915878906,-1296.6779765650501,0.0,0.0,0.0,106405.61357466743
51,2023-10-26,618665.9023631363,104674.09187493872,117453.5111146208,303270.9708045578,941560.9315407188,-507533.3105598927,-831775.8828333677,-191057.0040805345,-514018.08837772073,-838354.5803233271,-199004.81569447072,9867.114547250692,9210.163560602829,10416.297567001657,-3382.3367294225695,-5867.189910808327,-474.5410679362492,0.0,0.0,0.0,111132.59180324362
52,2023-10-27,618574.9298440039,100082.57416315396,110179.64480727976,303222.7579236792,941456.0795633493,-512855.60281663615,-837503.0772250679,-194703.0138781136,-514018.0883829265,-838354.5803267966,-199004.8157077259,3865.1304295857467,3307.400109945379,4399.179374856423,-2702.6448632954575,-5251.687317304975,224.58180749454635,0.0,0.0,0.0,105719.32702736772
